network,station id,start wateryear,end wateryear, lat,lon,elev,element,state,county,Subwatershed,site_name,site_info_link,cdbs_id,shef_id,gmt_offset
snotel,578,1999,2017,45.5,-110.97,6860,Snow Water Equivalent,MT,Gallatin,Upper Hyalite Creek,Lick Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=578,10D13S  ,LCKM8,8
snotel,349,1999,2017,46.41,-113.43,7210,Snow Water Equivalent,MT,Granite,Marshall Creek,Black Pine,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=349,13C13S  ,BLKM8,8
snotel,754,1999,2017,45.4,-110.96,8100,Snow Water Equivalent,MT,Gallatin,Upper Hyalite Creek,Shower Falls,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=754,10D16S  ,SHFM8,8
snotel,1001,1999,2017,58.19,-133.83,850,Snow Water Equivalent,AK,Juneau,Long River,Long Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1001,33J01S  ,LLKA2,9
snotel,328,1999,2017,44.95,-111.36,7850,Snow Water Equivalent,MT,Gallatin,Upper Beaver Creek,Beaver Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=328,11E38S  ,BEVM8,8
snotel,385,1999,2017,44.96,-111.29,9000,Snow Water Equivalent,MT,Gallatin,Sage Creek,Carrot Basin,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=385,11E29S  ,CRRM8,8
snotel,480,1999,2017,45.06,-109.94,9100,Snow Water Equivalent,MT,Park,Broadwater Creek-Clarks Fork Yellowstone River,Fisher Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=480,09D06S  ,FSHM8,8
snotel,530,1999,2017,46.98,-115.03,6050,Snow Water Equivalent,MT,Mineral,Upper Trout Creek,Hoodoo Basin,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=530,15C10S  ,HOOM8,8
snotel,670,1999,2017,45.01,-110.01,7350,Snow Water Equivalent,MT,Yellowstone National Park,Upper Soda Butte Creek,Northeast Entrance,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=670,10D07S  ,NORM8,8
snotel,781,1999,2017,46.78,-110.62,8100,Snow Water Equivalent,MT,Judith Basin,Cleveland Creek,Spur Park,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=781,10C06S  ,SPRM8,8
snotel,924,1999,2017,44.66,-111.09,6700,Snow Water Equivalent,MT,Gallatin,Lower South Fork Madison River,West Yellowstone,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=924,11E07S  ,WYSM8,8
snotel,254,1999,2017,45.82,-110.9,6210,Snow Water Equivalent,MT,Gallatin,Upper Bridger Creek,Maynard Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=254,,MYDM8,8
snotel,437,1999,2017,46.79,-110.68,6450,Snow Water Equivalent,MT,Meagher,Headwaters Sheep Creek,Deadman Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=437,10C09S  ,DDMM8,8
snotel,609,1999,2017,44.59,-111.12,7750,Snow Water Equivalent,MT,Gallatin,Lower South Fork Madison River,Madison Plateau,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=609,11E31S  ,MPLM8,8
snotel,657,1999,2017,46.87,-113.28,6250,Snow Water Equivalent,MT,Powell,Upper Elk Creek,N Fk Elk Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=657,13C31S  ,NFEM8,8
snotel,722,1999,2017,46.36,-112.26,8000,Snow Water Equivalent,MT,Jefferson,Cataract Creek,Rocker Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=722,12C11S  ,RKPM8,8
snotel,917,1999,2017,48.17,-109.65,4700,Snow Water Equivalent,MT,Hill,Upper Beaver Creek,Rocky Boy,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=917,09A01S  ,ROCM8,8
snotel,727,1999,2017,45.69,-113.97,7940,Snow Water Equivalent,MT,Beaverhead,Camp Creek,Saddle Mtn.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=727,13D22S  ,SDMM8,8
snotel,835,1999,2017,46.14,-114.45,5600,Snow Water Equivalent,MT,Ravalli,Lost Horse Creek,Twelvemile Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=835,14C13S  ,TMCM8,8
snotel,836,1999,2017,46.14,-114.51,6400,Snow Water Equivalent,MT,Ravalli,Lost Horse Creek,Twin Lakes,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=836,14C12S  ,TWLM8,8
snotel,311,1999,2017,48.57,-115.45,5600,Snow Water Equivalent,MT,Lincoln,Upper Fortine Creek,Banfield Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=311,15A08S  ,BANM8,8
snotel,918,1999,2017,48.98,-115.82,4250,Snow Water Equivalent,MT,Lincoln,Upper West Fork Yaak River,Garver Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=918,15A05S  ,GVRM8,8
snotel,516,1999,2017,48.97,-115.95,6450,Snow Water Equivalent,MT,Lincoln,Canada,Hawkins Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=516,15A03S  ,HAWM8,8
snotel,649,1999,2017,47.92,-112.82,6400,Snow Water Equivalent,MT,Teton,Middle North Fork Teton River,Mount Lockhart,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=649,12B12S  ,MTKM8,8
snotel,932,1999,2017,48.13,-115.62,5100,Snow Water Equivalent,MT,Lincoln,Upper Grave Creek,Poorman Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=932,15A12S  ,PMNM8,8
snotel,847,1999,2017,47.92,-112.79,5600,Snow Water Equivalent,MT,Teton,Middle North Fork Teton River,Waldron,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=847,12B13S  ,CHUM8,8
snotel,482,1999,2017,48.8,-113.86,6300,Snow Water Equivalent,MT,Flathead,McDonald Creek Headwaters,Flattop Mtn.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=482,13A19S  ,FTMM8,8
snotel,604,1999,2017,46.88,-113.32,4680,Snow Water Equivalent,MT,Missoula,Upper Elk Creek,Lubrecht Flume,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=604,13C38S  ,LUBM8,8
snotel,930,1999,2017,46.13,-113.31,7200,Snow Water Equivalent,MT,Granite,Silver Lake,Peterson Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=930,13C36S  ,PTNM8,8
snotel,407,1999,2017,45.19,-109.35,7850,Snow Water Equivalent,MT,Carbon,Skunk Creek-Clarks Fork Yellowstone Creek,Cole Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=407,09D16S  ,CLCM8,8
snotel,448,1999,2017,44.79,-112.06,7800,Snow Water Equivalent,MT,Madison,Headwaters Ruby River,Divide,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=448,12E07S  ,DIVM8,8
snotel,500,1999,2017,48.91,-114.77,4300,Snow Water Equivalent,MT,Flathead,Canada,Grave Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=500,14A11S  ,GRCM8,8
snotel,576,1999,2017,44.99,-113.44,8100,Snow Water Equivalent,MT,Beaverhead,Trail Creek,Lemhi Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=576,13E23S  ,LMHM8,8
snotel,664,1999,2017,48.16,-113.95,6040,Snow Water Equivalent,MT,Flathead,Flathead River-Rose Creek,Noisy Basin,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=664,13A25S  ,NOIM8,8
snotel,787,1999,2017,48.91,-114.86,6030,Snow Water Equivalent,MT,Lincoln,Canada,Stahl Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=787,14A12S  ,STAM8,8
snotel,347,1999,2017,44.51,-111.13,8170,Snow Water Equivalent,MT,Gallatin,Madison Arm-Madison River,Black Bear,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=347,11E35S  ,BLBM8,8
snotel,414,1999,2017,47.08,-112.73,6950,Snow Water Equivalent,MT,Lewis And Clark,Copper Creek,Copper Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=414,12B14S  ,CPCM8,8
snotel,813,1999,2017,44.79,-111.71,8000,Snow Water Equivalent,MT,Madison,Middle West Fork Madison River,Tepee Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=813,11E24S  ,TPEM8,8
snotel,858,1999,2017,44.61,-111.15,6800,Snow Water Equivalent,MT,Gallatin,Middle South Fork Madison River,Whiskey Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=858,11E30S  ,WSKM8,8
snotel,1103,1999,2017,60.96,-149.09,1540,Snow Water Equivalent,AK,Anchorage,Glacier Creek,Mt. Alyeska,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1103,49L01S  ,YESA2,9
snotel,410,1999,2017,46.47,-113.39,5600,Snow Water Equivalent,MT,Granite,Upper South Fork Lower Middle Creek,Combination,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=410,13C33S  ,CMBM8,8
snotel,487,1999,2017,46.44,-112.19,6480,Snow Water Equivalent,MT,Jefferson,Lump Gulch,Frohner Meadow,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=487,12C13S  ,FRHM8,8
snotel,862,1999,2017,45.05,-109.91,8700,Snow Water Equivalent,MT,Park,Broadwater Creek-Clarks Fork Yellowstone River,White Mill,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=862,09D08S  ,WHTM8,8
snotel,381,1999,2017,45.88,-113.33,6430,Snow Water Equivalent,MT,Deer Lodge,Fishtrap Creek,Calvert Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=381,13D26S  ,CLVM8,8
snotel,413,1999,2017,47.06,-112.6,5200,Snow Water Equivalent,MT,Lewis And Clark,Copper Creek,Copper Bottom,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=413,12B16S  ,COPM8,8
snotel,355,1999,2017,45.17,-113.5,7600,Snow Water Equivalent,MT,Beaverhead,Upper Bloody Dick Creek,Bloody Dick,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=355,13D10S  ,BLOM8,8
snotel,469,1999,2017,48.43,-113.94,4350,Snow Water Equivalent,MT,Flathead,Hungry Horse Creek,Emery Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=469,13A24S  ,EMCM8,8
snotel,510,1999,2017,48.31,-114.84,5035,Snow Water Equivalent,MT,Flathead,Squaw Meadows Creek,Hand Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=510,14A14S  ,HANM8,8
snotel,613,1999,2017,48.8,-113.67,4900,Snow Water Equivalent,MT,Glacier,Swiftcurrent Lake,Many Glacier,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=613,13A27S  ,MANM8,8
